New_Cluster_ID,Old_Cluster_ID,Cluster_Size,TF_Name,Family,Subgroup,ROC_AUC,PR_AUC,MCC,GSM_ID
C012,10310,10,ZNF669,C2H2 Zinc Finger,ZNF,0.9392960022482962,0.7737104608367188,0.6947241337812345,GSM2466625
C012,10310,10,ZNF670,C2H2 Zinc Finger,ZNF,0.9686631791805874,0.9064371228803068,0.8404119799086317,GSM2825542
C012,10310,10,ZNF709,C2H2 Zinc Finger,ZNF,0.9672208385222084,0.9407372633393676,0.8099867082870092,GSM5215570
C012,10310,10,ZNF791,C2H2 Zinc Finger,ZNF,0.9451916504052644,0.8168634308181282,0.7072034795004317,GSM2828913
C012,10310,10,ZNF101,C2H2 Zinc Finger,ZNF,0.8903457341269843,0.7585674479983011,0.6081039408676686,GSM2423517
C013,388,9,HOXA3,Homeodomain,Homeodomain,0.9612002665778074,0.9220024355189458,0.7703304133337487,GSM5215609
C013,388,9,HOXA5,Homeodomain,Homeodomain,0.9605411979881116,0.9140341402662524,0.7609083964344006,GSM5214768
C013,388,9,HOXA7,Homeodomain,Homeodomain,0.811089962683258,0.5615205640725879,0.4318644545838452,GSM5213824
C013,388,9,HOXB5,Homeodomain,Homeodomain,0.9665236051502146,0.9448224997143309,0.800522340560762,GSM5215275
C013,388,9,HOXB7,Homeodomain,Homeodomain,0.8823632346829406,0.5982879800494556,0.5030642350970705,GSM1145932
C013,388,9,HOXC5,Homeodomain,Homeodomain,0.9535955137886672,0.8704223641152478,0.7348315584580127,GSM2572272
C013,388,9,Hoxa9,Homeodomain,Homeodomain,0.9504060596429896,0.8545083452823462,0.7221338779955557,GSM5269347
C013,388,9,Hoxb8,Homeodomain,Homeodomain,0.9288986215130792,0.7967023373238429,0.6286821373671065,GSM3665347
C013,388,9,Hoxc9,Homeodomain,Homeodomain,0.9527709887319474,0.8661368382574368,0.734286918032925,GSM848789
C014,10311,9,ZNF160,C2H2 Zinc Finger,ZNF,0.9665524984261998,0.9258836099516018,0.8829231971552336,GSM3402703
C014,10311,9,ZNF480,C2H2 Zinc Finger,ZNF,0.9364237372285662,0.803733595251334,0.7095459909011437,GSM2466569
C014,10311,9,ZNF528,C2H2 Zinc Finger,ZNF,0.922060940285205,0.8030757104549773,0.6651355628900157,GSM2026811
C014,10311,9,ZNF534,C2H2 Zinc Finger,ZNF,0.9868548094373866,0.9558237916743224,0.872228384737387,GSM2466584
C014,10311,9,ZNF610,C2H2 Zinc Finger,ZNF,0.9251759276582476,0.8424737917634735,0.7026811939448567,GSM2423864
C014,10311,9,ZNF616,C2H2 Zinc Finger,ZNF,0.9768540970564836,0.966989912975659,0.8338112505747659,GSM5215705
C014,10311,9,ZNF766,C2H2 Zinc Finger,ZNF,0.9382935160078016,0.8022350849869493,0.6868534158143451,GSM2825565
C014,10311,9,ZNF83,C2H2 Zinc Finger,ZNF,0.9750927605409706,0.9622619368193543,0.8167443583251818,GSM5214276
C014,10311,9,ZNF880,C2H2 Zinc Finger,ZNF,0.9063795853269536,0.6965359693972417,0.4713628407871356,GSM2466681
C015,10312,8,ZNF121,C2H2 Zinc Finger,ZNF,0.9610294194646244,0.8360273848107953,0.7277660819186008,GSM5215294
C015,10312,8,ZNF266,C2H2 Zinc Finger,ZNF,0.9306915406301438,0.8034779975422542,0.7471028400370598,GSM2827472
C015,10312,8,ZNF426,C2H2 Zinc Finger,ZNF,0.9136036377415688,0.7618320480885938,0.6456804452382429,GSM3402709
C015,10312,8,ZNF560,C2H2 Zinc Finger,ZNF,0.9471936728811032,0.8294145763903292,0.7663481754671927,GSM2827456
C015,10312,8,ZNF561,C2H2 Zinc Finger,ZNF,0.9666952858255295,0.9225291001170802,0.8245565093781566,GSM2466596
C015,10312,8,ZNF562,C2H2 Zinc Finger,ZNF,0.9427772227772228,0.7901195508932353,0.6776795272598428,GSM2466597
C015,10312,8,ZNF778,C2H2 Zinc Finger,ZNF,0.9651981239940866,0.94623619840553,0.7988146796029221,GSM5214896
C015,10312,8,ZNF846,C2H2 Zinc Finger,ZNF,0.970888661899898,0.9468546153698332,0.8291855395717257,GSM2466676
C016,10313,7,ZNF350,C2H2 Zinc Finger,ZNF,0.9688719257540604,0.951998332772891,0.8037065634195621,GSM5214587
C016,10313,7,ZNF432,C2H2 Zinc Finger,ZNF,0.964659522049766,0.9387864027562276,0.7982514784068082,GSM5214227
C016,10313,7,ZNF613,C2H2 Zinc Finger,ZNF,0.8460587550901687,0.6488956305174702,0.5270224122860344,GSM2466612
C016,10313,7,ZNF614,C2H2 Zinc Finger,ZNF,0.8446831110586569,0.5974275997893481,0.4621656503982499,GSM2466613
