TF_Name,GSM_ID,Cluster_ID,Cluster_Type,TF_Count_in_Cluster,Single_Test_ROC_AUC,MTL_Test_ROC_AUC,Delta_ROC_AUC,Single_F1
ZNF273,GSM2466513,165,MTL,30,0.9744089973812196,0.9734060980172092,-0.0010028993640103234,0.8925438596491229
ZNF274,GSM5214790,148,Single,1,0.9827148428538657,0.9830287910071116,0.0003139481532459243,0.9329299041855774
ZNF276,GSM5214414,551,Single,1,0.9662901111111112,0.9673746666666668,0.001084555555555644,0.9007057278844576
ZNF280A,GSM2026795,477,MTL,2,0.9101207228915663,0.8957395983935743,-0.014381124497992004,0.8069659063036546
ZNF280B,GSM5215277,477,MTL,2,0.9808000000000001,0.977825111111111,-0.0029748888888890823,0.934860883797054
ZNF280C,GSM2825102,478,MTL,2,0.9713232484076433,0.9716703821656052,0.0003471337579619149,0.8602510460251046
ZNF280D,GSM5214076,478,MTL,2,0.9329327222222222,0.932735,-0.0001977222222222519,0.8324946081955428
ZNF281,GSM5213849,102,Single,1,0.9661698333333333,0.964268777777778,-0.0019010555555553088,0.8995410504844467
ZNF282,GSM2466516,357,Single,1,0.9891118022623226,0.9877383958448808,-0.0013734064174418803,0.9568
ZNF283,GSM2466517,272,MTL,3,0.974328097731239,0.9727137870855148,-0.0016143106457241485,0.8494983277591973
ZNF284,GSM2466518,151,MTL,9,0.9966711111111111,0.9970661111111112,0.00039500000000014523,0.9789649415692822
ZNF285,GSM2466519,155,Single,1,0.9138349514563107,0.9098907766990292,-0.003944174757281482,0.5964912280701754
ZNF287,GSM2466520,308,Single,1,0.9155293276108726,0.9102067238912732,-0.005322603719599361,0.7149122807017544
ZNF28,GSM2466521,156,MTL,12,0.9735668165100123,0.9768035689960496,0.0032367524860372754,0.9014850449696716
ZNF292,GSM2423198,381,Single,1,0.9537701127464661,0.9487973534781108,-0.004972759268355276,0.7790549169859514
ZNF296,GSM5214706,56,Single,1,0.9702377777777778,0.9693835555555554,-0.0008542222222223117,0.9011478499229056
ZNF2,GSM2466522,233,Single,1,0.9684755539954842,0.9699992956774636,0.0015237416819793292,0.85
ZNF300,GSM2827237,286,Single,1,0.9370949033391915,0.9315319273579378,-0.0055629759812537705,0.7828467153284672
ZNF302,GSM5215455,220,MTL,2,0.9229057786893431,0.9184395788474576,-0.004466199841885454,0.7092731829573935
ZNF304,GSM2466525,201,MTL,3,0.9769162964077238,0.9721260140080792,-0.00479028239964463,0.8582781456953642
ZNF30,GSM5214975,268,Single,1,0.9776622222222223,0.9781478333333334,0.0004856111111111172,0.9178433889602053
ZNF311,GSM2466527,216,Single,1,0.9493883792048928,0.9485219164118246,-0.0008664627930682345,0.7818181818181819
ZNF316,GSM2423115,133,Single,1,0.9758123333333333,0.974768277777778,-0.0010440555555553122,0.9345258184272697
ZNF317,GSM5213938,193,Single,1,0.9361061666666668,0.937481,0.0013748333333332141,0.8376037531577047
ZNF318,GSM5214549,610,Single,1,0.9672057777777778,0.965590388888889,-0.0016153888888887913,0.887965367965368
ZNF319,GSM5214035,104,Single,1,0.9607834101382488,0.9612624167946748,0.0004790066564260842,0.8727124847498984
ZNF320,GSM2466529,156,MTL,12,0.971371280583999,0.9794767658900668,0.008105485306067806,0.8536741214057508
ZNF322,GSM2026819,339,Single,1,0.9748628994998092,0.974556557722826,-0.00030634177698318776,0.8661870503597122
ZNF324B,GSM2466530,215,MTL,2,0.8856065367693275,0.8706788183532369,-0.01492771841609064,0.7
ZNF324,GSM2423938,215,MTL,2,0.9307715000000001,0.933228888888889,0.0024573888888889117,0.8476798343971019
ZNF326,GSM5214117,563,Single,1,0.9403887441501424,0.940357082549332,-3.166160081036207e-05,0.7881188118811882
ZNF329,GSM2026823,237,Single,1,0.9722451626851152,0.9727748351529564,0.0005296724678411913,0.8648648648648649
ZNF331,GSM2797677,272,MTL,3,0.9573473888888888,0.9522163333333332,-0.005131055555555597,0.8878460816518067
ZNF333,GSM5214755,192,Single,1,0.9810762222222222,0.980703611111111,-0.0003726111111111985,0.9314126698313963
ZNF335,GSM2423319,612,Single,1,0.9382106111111113,0.9375101111111112,-0.0007005000000001038,0.8588957055214724
ZNF337,GSM5214174,140,Single,1,0.9605776666666668,0.960585,7.333333333248149e-06,0.897137464611513
ZNF33A,GSM5214619,290,MTL,2,0.9503105555555555,0.9543325555555556,0.004022000000000081,0.877169105137802
ZNF33B,GSM5214279,290,MTL,2,0.9704869999999999,0.9728371666666666,0.002350166666666764,0.904906937394247
ZNF341,GSM2423128,605,Single,1,0.9625801111111111,0.9614251666666668,-0.0011549444444443058,0.8873826903023984
ZNF343,GSM5215269,136,Single,1,0.9719318888888888,0.9717462222222222,-0.00018566666666663956,0.9163945133899413
ZNF34,GSM5331303,255,Single,1,0.9635249444444445,0.964362111111111,0.0008371666666665556,0.8987405541561713
ZNF350,GSM5214587,297,MTL,4,0.9630011666666666,0.9668026666666668,0.0038015000000002352,0.9002144153059541
ZNF354A,GSM2466540,229,MTL,2,0.919235284386591,0.9395809291470096,0.02034564476041867,0.8008948545861297
ZNF354B,GSM5214239,229,MTL,2,0.9154530988274707,0.9122315745393634,-0.0032215242881072914,0.7154471544715447
ZNF354C,GSM2423266,230,MTL,2,0.9652707627641178,0.9683917696725765,0.0031210069084586234,0.848780487804878
ZNF35,GSM2026761,238,Single,1,0.9192361111111111,0.9190919444444444,-0.00014416666666672295,0.8409197559831065
ZNF362,GSM5214057,35,MTL,2,0.9305493333333333,0.9313334444444444,0.0007841111111110965,0.8290644868301544
ZNF366,GSM2423020,36,MTL,2,0.9429094444444444,0.9403232222222222,-0.0025862222222221565,0.8677656962469309
ZNF367,GSM5214265,97,Single,1,0.9833774999999998,0.9830521111111112,-0.0003253888888885559,0.934509227502858
ZNF37A,GSM2026770,292,Single,1,0.9614190835363615,0.9555284851316624,-0.005890598404699077,0.8452380952380952
ZNF382,GSM2424065,282,MTL,2,0.9033067777777777,0.8981185,-0.005188277777777639,0.8134005763688761
ZNF383,GSM5214281,266,MTL,2,0.9613321111111112,0.9593885555555556,-0.0019435555555555872,0.8976480129764801
ZNF384,GSM2026843,35,MTL,2,0.9929314444444446,0.9926006666666668,-0.00033077777777779094,0.9613559322033899
ZNF391,GSM2423166,248,MTL,3,0.9291113333333334,0.9314778333333332,0.002366499999999827,0.8518955349620893
ZNF394,GSM2423060,304,Single,1,0.9322645555555557,0.931980888888889,-0.00028366666666668205,0.8598919648885888
ZNF397,GSM5214787,310,Single,1,0.9041666666666669,0.8991598793363499,-0.0050067873303170085,0.6624434389140271
ZNF398,GSM2827460,358,Single,1,0.9664366666666666,0.9645756666666668,-0.0018609999999997795,0.8939687005451029
ZNF3,GSM2825550,222,Single,1,0.9287734999999999,0.9270977777777778,-0.0016757222222221202,0.8517930815614091
ZNF404,GSM2827406,272,MTL,3,0.9322325352395193,0.932710905255992,0.0004783700164726623,0.7142857142857143
ZNF407,GSM2422888,364,Single,1,0.8926118163297289,0.8927881209841717,0.00017630465444284926,0.7445652173913043
ZNF408,GSM5214352,362,Single,1,0.9418649572649573,0.9428260683760684,0.0009611111111110793,0.7497048406139315
ZNF410,GSM2574773,352,Single,1,0.9468913599554678,0.9503677883659593,0.00347642841049145,0.7149425287356321
ZNF414,GSM5213960,731,Single,1,0.9698140000000001,0.9682926666666666,-0.0015213333333334855,0.8974537844436693
ZNF416,GSM5668028,207,MTL,2,0.9461435897435898,0.9488541310541312,0.002710541310541381,0.7959673547767643
ZNF417,GSM2466547,198,MTL,4,0.9752086172456924,0.9845707245132264,0.009362107267533948,0.8503937007874016
ZNF418,GSM2466548,198,MTL,4,0.9574499424626007,0.9668170310701956,0.009367088607594831,0.6829268292682927
ZNF419,GSM2466550,208,MTL,2,0.9019641368697771,0.8709098292333669,-0.03105430763641015,0.7123287671232876
ZNF41,GSM5214094,279,MTL,2,0.901,0.8966915509259259,-0.004308449074074128,0.7229825389334592
ZNF425,GSM2466551,128,Single,1,0.9237388510959941,0.9166145124716552,-0.007124338624338922,0.7211120764552563
ZNF426,GSM3402709,174,MTL,2,0.9138246810660604,0.9609226979916636,0.047098016925603226,0.7313432835820896
ZNF429,GSM2466552,165,MTL,30,0.9657813408602361,0.9614024083475442,-0.0043789325126919465,0.8727149627623562
ZNF430,GSM5669259,165,MTL,30,0.971233888888889,0.9671546666666666,-0.004079222222222345,0.9041999305796599
ZNF431,GSM2466554,165,MTL,30,0.9389031937480237,0.9587342458327688,0.019831052084745115,0.6794871794871795
ZNF432,GSM5214227,298,Single,1,0.9707744444444444,0.9715277777777775,0.0007533333333331615,0.8892800563281112
ZNF433,GSM2466556,183,MTL,8,0.9668708126943196,0.9816656194152256,0.01479480672090594,0.8411214953271028
ZNF436,GSM5214832,243,Single,1,0.9177932015226646,0.9183580689955888,0.0005648674729241687,0.6927252985884907
ZNF438,GSM2423672,467,Single,1,0.9696694155092592,0.9694741030092592,-0.0001953125000000444,0.9105145413870246
ZNF439,GSM2466557,183,MTL,8,0.8864624864081188,0.9729974628488584,0.0865349764407396,0.6732673267326733
ZNF440,GSM2466558,183,MTL,8,0.9597091748674755,0.9654303117440768,0.005721136876601252,0.7945205479452054
ZNF441,GSM5215741,182,MTL,7,0.969953,0.9715308333333336,0.0015778333333336114,0.9081062785581316
ZNF442,GSM2466560,182,MTL,7,0.8498712616359675,0.9743655037772684,0.12449424214130089,0.6021505376344086
