TF_Name,GSM_ID,Cluster_ID,Cluster_Type,TF_Count_in_Cluster,Single_ROC_AUC,MTL_ROC_AUC,Delta_ROC_AUC,Single_PR_AUC,MTL_PR_AUC,Delta_PR_AUC,Single_Accuracy,MTL_Accuracy,Delta_Accuracy,Single_Precision,MTL_Precision,Delta_Precision,Single_Recall,MTL_Recall,Delta_Recall,Single_F1,MTL_F1,Delta_F1,Single_MCC,MTL_MCC,Delta_MCC
ZNF658,GSM2828881,10304,MTL,20,0.9686230816451811,0.9789914057704112,0.010368324125230144,0.9102313951780876,0.9309850005521392,0.020753605374051576,0.9483488569009314,0.95766299745978,0.009314140558848605,0.8260869565217391,0.8800773694390716,0.05399041291733242,0.8397790055248618,0.8379373848987108,-0.0018416206261510082,0.8328767123287671,0.8584905660377359,0.025613853708968737,0.8023712487482175,0.833962932395835,0.03159168364761744
ZNF660,GSM5215022,10305,MTL,20,0.9741500983507339,0.9831768800121048,0.009026781661370942,0.9632648355462319,0.9739598579277312,0.01069502238149933,0.9104362867576398,0.9369594464731884,0.02652315971554864,0.9379727685325264,0.9342288096340898,-0.0037439588984365946,0.8443032228778938,0.9155696777122108,0.07126645483431693,0.8886765408504539,0.9248051352590556,0.03612859440860172,0.8172559523086037,0.8706772405403571,0.053421288231753405
ZNF662,GSM2827532,10324,MTL,4,0.9355658989123481,0.9423125399872042,0.006746641074856119,0.8890799457623979,0.8987265510422346,0.00964660527983674,0.9119247897080653,0.9156358238495794,0.00371103414151408,0.8633474576271186,0.8855885588558856,0.02224110122876699,0.7821497120921305,0.772552783109405,-0.009596928982725461,0.8207452165156093,0.8252178370066633,0.0044726204910540135,0.7641879671870386,0.773075102731001,0.008887135543962366
ZNF664,GSM2423889,10330,MTL,3,0.9228166666666666,0.9275826666666668,0.004766000000000159,0.9332043083852379,0.9366756618815666,0.003471353496328655,0.8458333333333333,0.856,0.010166666666666657,0.8400524418223533,0.9101382488479264,0.0700858070255731,0.8543333333333333,0.79,-0.06433333333333324,0.8471327053379607,0.8458244111349036,-0.0013082942030571143,0.6917666341684778,0.7182851992948297,0.026518565126351867
ZNF667,GSM2466624,10321,MTL,5,0.9090491803278689,0.9076065573770492,-0.0014426229508196498,0.804728462213514,0.8045394690149079,-0.0001889931986061022,0.9352112676056338,0.9464788732394366,0.011267605633802802,0.9090909090909091,0.918918918918919,0.00982800982800991,0.6,0.68,0.08000000000000007,0.7228915662650602,0.7816091954022989,0.05871762913723866,0.7070053201106699,0.7629596175581528,0.055954297447482926
ZNF669,GSM2466625,10310,MTL,10,0.9569837701117121,0.9747066676034568,0.017722897491744716,0.8420375790313689,0.927735044388389,0.08569746535702016,0.946524064171123,0.9705882352941176,0.024064171122994638,0.8484848484848485,0.872093023255814,0.02360817477096544,0.6511627906976745,0.872093023255814,0.22093023255813948,0.7368421052631579,0.872093023255814,0.1352509179926561,0.7153360895356682,0.8554767090564181,0.14014061952074996
ZNF670,GSM2825542,10310,MTL,10,0.9789814432989691,0.9895766323024056,0.010595189003436478,0.9449148997000043,0.962833144877438,0.017918245177433678,0.9715925394548063,0.976470588235294,0.004878048780487698,0.9251101321585903,0.929637526652452,0.004527394493861747,0.865979381443299,0.8989690721649485,0.03298969072164948,0.8945686900958466,0.9140461215932912,0.01947743149744463,0.8788138461645895,0.9005902613081885,0.02177641514359907
ZNF671,GSM2466626,10303,MTL,21,0.9758134903044551,0.9767512511120146,0.0009377608075594734,0.9376260889615051,0.9413655123264884,0.00373942336498323,0.9390653240382133,0.9424218951717016,0.0033565711334883064,0.8479212253829321,0.9144316730523628,0.0665104476694307,0.8887614678899083,0.8211009174311926,-0.06766055045871566,0.8678611422172452,0.8652567975830816,-0.002604344634163591,0.8286792829435978,0.8307217809254165,0.0020424979818186584
ZNF674,GSM5215097,10304,MTL,20,0.980380057993937,0.9881418215368392,0.007761763542902145,0.97632492224936,0.985346888593804,0.009021966344444077,0.9301862904684391,0.9459215047929102,0.015735214324471003,0.915149166989539,0.9485116653258246,0.033362498336285684,0.9339659944642151,0.9323843416370108,-0.0015816528272043495,0.9244618395303327,0.9403788634097708,0.015917023879438164,0.8597324093388273,0.8910164497694257,0.0312840404305984
ZNF675,GSM2466628,10306,MTL,20,0.9870246797875665,0.9911212121212122,0.004096532333645708,0.9776431427494586,0.9824131777398192,0.00477003499036055,0.9650848291123678,0.965330710597492,0.0002458814851241664,0.9400570884871551,0.940952380952381,0.0008952924652259053,0.9259606373008434,0.9259606373008434,0.0,0.9329556185080264,0.9333963155408596,0.000440697032833115,0.9094011514298044,0.9100183723520806,0.0006172209222762293
ZNF678,GSM5215333,10336,MTL,2,0.9765546666666667,0.9764311666666666,-0.00012350000000005412,0.9749577919651051,0.9749607221842383,2.930219133223666e-06,0.9166666666666666,0.921,0.004333333333333411,0.9367575122292103,0.9066323245331616,-0.030125187696048772,0.8936666666666667,0.9386666666666666,0.04499999999999993,0.914704878880928,0.9223714379299052,0.007666559048977173,0.8342164016768416,0.8425260877558932,0.008309686079051581
ZNF680,GSM2466630,10306,MTL,20,0.9779536590961229,0.9813577655425556,0.003404106446432742,0.9797839945324665,0.9834655960505648,0.0036816015180983763,0.9263460887233322,0.942092786996275,0.015746698272942727,0.904418985270049,0.952364149611856,0.047945164341806956,0.9507914659325534,0.9287680660701996,-0.0220233998623538,0.9270256668344238,0.9404181184668988,0.013392451632475044,0.8538595448579692,0.8843744935306334,0.030514948672664133
ZNF681,GSM2466631,10306,MTL,20,0.9653959460053643,0.9811590379457414,0.015763091940377172,0.9101041131000421,0.921984312149384,0.0118801990493419,0.9492924528301887,0.956367924528302,0.007075471698113289,0.8672566371681416,0.8869565217391304,0.019699884570988813,0.7777777777777778,0.8095238095238095,0.031746031746031744,0.8200836820083682,0.8464730290456431,0.026389347037274913,0.7922606676681299,0.8222689808122537,0.030008313144123888
ZNF682,GSM2466633,10336,MTL,2,0.966956241956242,0.967257308328737,0.0003010663724950513,0.9143545704423466,0.9066598921860368,-0.0076946782563097615,0.9303175049171115,0.9275077268895756,-0.002809778027535903,0.8427109974424553,0.8058139534883721,-0.03689704395408311,0.8405612244897959,0.8839285714285714,0.04336734693877553,0.8416347381864623,0.843065693430657,0.001430955244194676,0.796967312025176,0.7975050404771267,0.0005377284519506587
ZNF684,GSM2466634,10331,MTL,2,0.9529285930637589,0.9481296380433136,-0.00479895502044525,0.8864097181596777,0.8859271555776685,-0.0004825625820091828,0.9300225733634312,0.9435665914221218,0.013544018058690654,0.9444444444444444,0.8770491803278688,-0.06739526411657559,0.5985915492957746,0.7535211267605634,0.15492957746478875,0.7327586206896551,0.8106060606060606,0.07784743991640541,0.7187535456940789,0.780766492523727,0.062012946829648086
ZNF687,GSM5215692,332,MTL,3,0.9832424242424241,0.9834222575095938,0.00017983326716963788,0.9831115065505536,0.9834135687892384,0.000302062238684786,0.9378510599746331,0.9416560971190432,0.0038050371444100506,0.9489692463670159,0.9344581440622972,-0.014511102304718637,0.936,0.96,0.02399999999999991,0.9424400067125357,0.9470568891811904,0.0046168824686546595,0.8750117901717523,0.8825092189279948,0.007497428756242486
ZNF691,GSM5214837,104,MTL,16,0.9767256666666666,0.9846538888888888,0.007928222222222225,0.9738316887828232,0.9833001020845242,0.009468413301701006,0.9251666666666667,0.9401666666666668,0.015000000000000124,0.9216528925619835,0.9319594373568858,0.01030654479490234,0.9293333333333333,0.9496666666666668,0.020333333333333425,0.9254771784232365,0.940729734191844,0.015252555768607512,0.8503628603341697,0.8804922765351667,0.03012941620099696
ZNF695,GSM2466635,10337,MTL,2,0.9384812220276318,0.93116433158202,-0.00731689044561179,0.898057608371483,0.8853622041651488,-0.012695404206334193,0.8669637173774666,0.8648419265860386,-0.0021217907914279355,0.8596026490066225,0.8325092707045736,-0.027093378302048943,0.7577349678925861,0.7863397548161121,0.02860478692352597,0.8054607508532423,0.8087661362954068,0.0033053854421645212,0.7082266716142884,0.7050711912276487,-0.0031554803866397085
ZNF696,GSM5214437,104,MTL,16,0.8892949094816226,0.9181356052466196,0.028840695764997037,0.6746991804539548,0.7222536267728966,0.04755444631894179,0.9310009718172984,0.933916423712342,0.002915451895043608,0.6935483870967742,0.75,0.056451612903225756,0.602803738317757,0.5467289719626168,-0.05607476635514019,0.645,0.6324324324324324,-0.012567567567567606,0.6088250106393547,0.6061191974371335,-0.0027058132022211856
ZNF697,GSM5214050,104,MTL,16,0.9773896666666666,0.9827382222222224,0.005348555555555801,0.9755059814904704,0.9809037198051832,0.005397738314712797,0.9218333333333333,0.935,0.013166666666666771,0.9356282271944922,0.9177336747759284,-0.017894552418563858,0.906,0.9556666666666668,0.04966666666666675,0.920575783234547,0.9363161332462444,0.01574035001169738,0.8440899901604217,0.8707441269438534,0.026654136783431648
ZNF699,GSM6372198,10323,MTL,5,0.8987518453371863,0.9469661871407482,0.04821434180356188,0.7223211437011392,0.8128669114304194,0.09054576772928025,0.9370112945264987,0.9509122502172024,0.013900955690703709,0.7877094972067039,0.835820895522388,0.04811139831568412,0.5685483870967742,0.6774193548387096,0.10887096774193539,0.6604215456674473,0.7483296213808464,0.08790807571339909,0.636832264803685,0.7263541574698663,0.08952189266618127
ZNF69,GSM2466636,10308,MTL,15,0.8564654175341199,0.9448299791811244,0.08836456164700457,0.6645276098720877,0.8438393860614234,0.1793117761893357,0.9450800915331807,0.9588100686498856,0.013729977116704872,0.8571428571428571,0.90625,0.049107142857142905,0.5454545454545454,0.6590909090909091,0.11363636363636365,0.6666666666666666,0.7631578947368421,0.09649122807017552,0.65774879758969,0.75249926810272,0.0947504705130301
ZNF700,GSM5215466,10308,MTL,15,0.8667800674920495,0.8912872766434463,0.024507209151396814,0.6262479409394697,0.6750057551455043,0.048757814206034644,0.914756025867137,0.9168136390358612,0.002057613168724215,0.697508896797153,0.7543103448275862,0.05680144803043319,0.48877805486284287,0.4364089775561097,-0.05236907730673318,0.5747800586510264,0.5529225908372828,-0.021857467813743647,0.5393759070350024,0.5339491915878393,-0.005426715447163111
ZNF701,GSM2938898,10309,MTL,12,0.9444625078764964,0.9449857172862844,0.0005232094097880058,0.9063597927737898,0.9186359479476612,0.012276155173871484,0.8862001308044474,0.882494004796163,-0.0037061260082843495,0.8420038535645472,0.8191230207064556,-0.022880832858091615,0.8260869565217391,0.847511027095148,0.021424070573408893,0.833969465648855,0.833075255497058,-0.0008942101517970258,0.7474930547882287,0.7427079412680742,-0.004785113520154538
ZNF705G,GSM2466638,10335,MTL,2,0.924276699607096,0.918918918918919,-0.0053577806881770496,0.8278393583989424,0.7774089514312813,-0.0504304069676611,0.946969696969697,0.9393939393939394,-0.007575757575757569,0.9259259259259259,0.8387096774193549,-0.08721624850657106,0.6756756756756757,0.7027027027027027,0.027027027027027084,0.78125,0.7647058823529411,-0.016544117647058876,0.7640041664035401,0.7339992128172453,-0.030004953586294736
ZNF708,GSM2466640,10306,MTL,20,0.9433558068928454,0.9639160348505008,0.02056022795765544,0.8534093660998311,0.8974788018593423,0.044069435759511166,0.9287179487179488,0.9405128205128204,0.011794871794871598,0.9033613445378151,0.9056603773584906,0.0022990328206754507,0.649546827794562,0.7250755287009063,0.07552870090634434,0.7557117750439367,0.8053691275167785,0.049657352472841754,0.7286242510330585,0.7774077835570138,0.048783532523955286
