TF_Name,Subgroup,GSM_ID,Family,Function,Cell_Line,Species,Cistrome_ID,External_ID_Type,PBC,FRiP,MappedRatio,PeaksFoldChangeAbove10,PeaksUnionDHSRatio,FastQC,GC_Content_Mean,GC_Content_Median,GC_Content_Std,GC_Content_Min,GC_Content_Max,Total_Sequences,Avg_Sequence_Length,mcc,roc_auc,pr_auc,precision,recall,accuracy,f1,gsm,fold
MLX,Unknown/Other,GSM2527496,Unknown/Other,Gene Regulation,Hep-G2,homo_sapiens,101106,GEO,0.993,0.0375999999999906,0,1883,0.9324,35,54.09,53,10.73,21.5,85,15000,200,0.7489741997588043,0.9585355851851852,0.8784550065415192,0.7884244372990353,0.8173333333333334,0.9153684210526316,0.8026186579378068,GSM2527496,0
MLXIP,Unknown/Other,GSM2358603,Unknown/Other,Gene Regulation,155,homo_sapiens,76828,GEO,0.99,0.0083676003394425,0,48,0.7573529411764706,38,40.52,39.5,9.32,16.5,66,128,200,0.8307061088165788,0.899749373433584,0.7830556504898609,1,0.7142857142857143,0.96875,0.8333333333333334,GSM2358603,0
MNX1,Unknown/Other,GSM5214607,Unknown/Other,Gene Regulation,Hep-G2,homo_sapiens,145684,GEO,0.981,0.1979236603350264,0,5492,0.9612,36,67.52,68.5,8.1,21.5,95.5,15000,200,0.8824477838923942,0.9869288515406164,0.989286407512434,0.9363636363636364,0.9613333333333334,0.942007434944238,0.9486842105263158,GSM5214607,0
MSX2,Unknown/Other,GSM5215595,Unknown/Other,Gene Regulation,MCF-7,homo_sapiens,152751,GEO,0.991,0.0349150992339057,0,1255,0.847,40,48.93,46,11.58,20,78.5,15000,200,0.5932186971631901,0.907451157838701,0.7227624266741413,0.7482394366197183,0.5666666666666667,0.896161526514311,0.644916540212443,GSM5215595,0
MTA2,Unknown/Other,GSM969795,Unknown/Other,Gene Regulation,HCT 116,homo_sapiens,87604,GEO,0.988,0.0032879999999991,0,239,0.5253164556962026,39,41.63,39.5,8.93,16.5,78,338,200,0.7410973168752247,0.944627851140456,0.864226279641572,0.8846153846153846,0.6764705882352942,0.9391304347826088,0.7666666666666667,GSM969795,0
MTA3,Unknown/Other,GSM1010729,Unknown/Other,Gene Regulation,GM12878,homo_sapiens,46147,GEO,0.996,0.1094129999999726,0,716,0.9738,37,48.62,47,9.4,22,81.5,15000,200,0.588875765579935,0.9044079932510808,0.7179110048455757,0.6466212027278363,0.6953333333333334,0.8687036563538737,0.6700931577256666,GSM1010729,0
MTF1,Unknown/Other,GSM5215251,Unknown/Other,Gene Regulation,Hep-G2,homo_sapiens,152830,GEO,0.992,0.0201079735548781,0,433,0.9288,35,60.93,62.5,10.64,17,95.5,8468,200,0.7453650128799599,0.95314597808783,0.9138301886557928,0.8004410143329658,0.8571428571428571,0.8874813710879285,0.8278221208665907,GSM5215251,0
MXD1,bHLH,GSM5215037,bHLH,"Development, Proliferation",Hep-G2,homo_sapiens,152998,GEO,0.986,0.0922457136473,0,1499,0.9428,36,65.89,67,9.42,21,95.5,15000,200,0.8605463216728438,0.9818867497168744,0.9769633716112388,0.9141184124918672,0.9366666666666666,0.9304960195958358,0.925255186038854,GSM5215037,0
MXD3,bHLH,GSM2534622,bHLH,"Development, Proliferation",Hep-G2,homo_sapiens,102381,GEO,0.987,0.035939749999991,0,387,0.9564,35,65.45,66,7.24,22,97.5,8743,200,0.8665620048354183,0.9823702613176296,0.9848410986825858,0.9414466130884042,0.9382151029748284,0.933920704845815,0.9398280802292264,GSM2534622,0
MXD4,bHLH,GSM2534025,bHLH,"Development, Proliferation",Hep-G2,homo_sapiens,101245,GEO,0.989,0.0586574999999853,0,2152,0.9514,35,60.85,61.5,10.18,22,95,15000,200,0.7921894763949794,0.9652762632978722,0.9329660067782012,0.8512020792722547,0.8733333333333333,0.9070541259982252,0.8621256992431721,GSM2534025,0
MYB,Unknown/Other,GSM2466686,Unknown/Other,Gene Regulation,Loucy,homo_sapiens,75138,GEO,0.976,0.2922482499999269,0,18027,0.966,,47.06,45.5,9.38,20.5,85.5,15000,200,0.7442321914895949,0.955746153092228,0.864179718338061,0.8273328434974284,0.7506666666666667,0.9266441821247892,0.7871373645578469,GSM2466686,0
MYC,bHLH,GSM2305251,bHLH,"Cell Cycle, Proliferation",LNCaP,homo_sapiens,70756,GEO,0.96,0.8205327499997949,0,11308,0.5234,29,49.34,49.5,11.85,20,81,15000,200,0.5018122276945322,0.8743026748588095,0.6508388491610317,0.6297627606038821,0.584,0.8342308252073934,0.6060186786579038,GSM2305251,0
MYCN,bHLH,GSM2915909,bHLH,"Cell Cycle, Proliferation",Kelly,homo_sapiens,138030,GEO,0.99,0.139539056765525,0,9445,0.968,31,61.65,63,12.3,17,95.5,15000,200,0.7809975637806483,0.96200796812749,0.922945521518058,0.8627450980392157,0.8213333333333334,0.9118708452041784,0.8415300546448088,GSM2915909,0
MYNN,Unknown/Other,GSM5215460,Unknown/Other,Gene Regulation,Hep-G2,homo_sapiens,152769,GEO,0.991,0.0357188420080909,0,378,0.9474,34,59.17,59.5,8.41,21.5,95.5,15000,200,0.7281578364738989,0.9495554753309264,0.9078884466558236,0.8181221273801708,0.8306666666666667,0.8756440281030445,0.824346675487926,GSM5215460,0
MYOD1,Unknown/Other,GSM2259152,Unknown/Other,Gene Regulation,RMS,homo_sapiens,89895,GEO,0.919,0.3374602499999156,0,21525,0.9578,35,52.78,52,7.23,24,77.5,15000,200,0.8183544484524224,0.9743395768296912,0.9418397323943956,0.8628608923884514,0.8766666666666667,0.9262724550898204,0.8697089947089947,GSM2259152,0
MYOG,Unknown/Other,GSM2214115,Unknown/Other,Gene Regulation,rhabdomyosarcoma,homo_sapiens,75838,GEO,0.962,0.0240254999999939,0,1147,0.9402,35,51.11,50,7.1,22.5,97.5,7873,200,0.8320104896386388,0.9744071498936367,0.9419781159573792,0.8855656697009102,0.8653113087674714,0.9355909694555112,0.8753213367609255,GSM2214115,0
MZF1,Unknown/Other,GSM2026778,Unknown/Other,Gene Regulation,HEK293,homo_sapiens,65207,GEO,0.993,0.0044437499999988,0,172,0.8957816377171216,37,51.23,50,9.14,22,78.5,1158,200,0.5560923629368766,0.91108934169279,0.7355106453921221,0.8771929824561403,0.4310344827586206,0.8687050359712231,0.5780346820809249,GSM2026778,0
Maff,Unknown/Other,GSM2423084,Unknown/Other,Gene Regulation,HeLa-S3,homo_sapiens,100562,GEO,0.99,0.0672634999999831,0,8476,0.7578,39,42.12,41,9.26,18.5,78.5,15000,200,0.8074314272710004,0.9687605495583906,0.9183537634080208,0.8460499662390277,0.8353333333333334,0.9449785706011816,0.8406574974840657,GSM2423084,0
Mafg,Unknown/Other,GSM5213893,Unknown/Other,Gene Regulation,Hep-G2,homo_sapiens,149788,GEO,0.991,0.0287360732040788,0,623,0.849,36,59.78,60.5,10.33,20,95.5,15000,200,0.7685215548643927,0.957823826966684,0.9102086839084172,0.8799699924981246,0.782,0.9084930477264186,0.8280974232262619,GSM5213893,0
Maz,Unknown/Other,GSM1499533,Unknown/Other,Gene Regulation,T778,homo_sapiens,74571,GEO,0.958,0.1675247499999581,0,2655,0.933,38,66.23,67,9.26,21,96.5,15000,200,0.8134252744674242,0.9717628845776995,0.964459950478908,0.8619018776499091,0.9486666666666668,0.9047172758512964,0.903205331640749,GSM1499533,0
Mecom,Unknown/Other,GSM6372561,Unknown/Other,Gene Regulation,K-562,homo_sapiens,163625,GEO,0.994,0.029187546340244,0,812,0.7994,36,50.56,49,10.01,20.5,84,15000,200,0.5291029605492851,0.8850695362685796,0.6824859119334844,0.7424083769633508,0.4726666666666667,0.8795446625624347,0.5775967413441955,GSM6372561,0
Mecp2,Unknown/Other,GSM4557680,Unknown/Other,Gene Regulation,HEK293T,homo_sapiens,154529,GEO,0.991,0.0290297809495378,0,250,0.4524,40,60.06,59,9.98,21.5,90,14904,200,0.7663108599236839,0.9684186744451908,0.8702407140911875,0.8287135749822317,0.7825503355704698,0.9347876269621422,0.8049706593027269,GSM4557680,0
Mef2a,Unknown/Other,GSM803511,Unknown/Other,Gene Regulation,GM12878,homo_sapiens,46123,GEO,0.946,0.1129562499999717,0,9512,0.9684,33,45.32,43,10.79,21.5,95.5,15000,200,0.701522461968744,0.9523662241686056,0.8328183425718492,0.8245329000812348,0.6766666666666666,0.9204042239127966,0.7433174661296228,GSM803511,0
Mef2c,Unknown/Other,GSM2944368,Unknown/Other,Gene Regulation,MOLM-13,homo_sapiens,136688,GEO,0.971,0.2761269134355009,0,26759,0.9284,35,43.9,42.5,8.83,20.5,95.5,15000,200,0.7609430094973829,0.9528769124978512,0.8702337851105124,0.7851186658114175,0.816,0.9339887640449438,0.8002615233736515,GSM2944368,0
Meis1,Unknown/Other,GSM940324,Unknown/Other,Gene Regulation,SEM,homo_sapiens,9324,GEO,0.989,0.0084444999999978,0,920,0.90852314474651,30,43.26,42.5,6.99,17,96,2690,200,0.661888885677303,0.9197365517475512,0.8150512330625221,0.774468085106383,0.6765799256505576,0.8973607038123167,0.7222222222222222,GSM940324,0
Mga,Unknown/Other,GSM2828490,Unknown/Other,Gene Regulation,K562,homo_sapiens,102741,GEO,0.878,0.099910999999975,0,2721,0.9388,40,58.63,59,9.68,21.5,83.5,15000,200,0.7184441071904152,0.9359022523697712,0.8628150887407061,0.815697266993693,0.776,0.8876804800300019,0.7953536043730782,GSM2828490,0
Mllt10,Unknown/Other,GSM5215676,Unknown/Other,Gene Regulation,Hep-G2,homo_sapiens,152784,GEO,0.994,0.0162231656191785,0,129,0.7488829311885612,34,53.28,54.25,11.95,20.5,97.5,1112,200,0.7551457230820419,0.9459624762377056,0.8677561395139844,0.8,0.7927927927927928,0.9314024390243902,0.7963800904977375,GSM5215676,0
Mnt,Unknown/Other,GSM2827334,Unknown/Other,Gene Regulation,K562,homo_sapiens,101942,GEO,0.943,0.0934737499999766,0,2946,0.942,38,56.6,57,9.89,18.5,85,15000,200,0.7308444917272822,0.9433269160650476,0.8649609483595257,0.8343151693667158,0.7553333333333333,0.902487234393016,0.7928621413575927,GSM2827334,0
Mta1,Unknown/Other,GSM5215565,Unknown/Other,Gene Regulation,Hep-G2,homo_sapiens,153333,GEO,0.978,0.1602853671765301,0,2500,0.9488,36,65.38,65.5,8.2,20,95.5,15000,200,0.8595411651716623,0.979935929648241,0.9765030933622896,0.9256801592568016,0.93,0.9298188874514876,0.9278350515463918,GSM5215565,0
Mybl2,Unknown/Other,GSM1010876,Unknown/Other,Gene Regulation,Hep-G2,homo_sapiens,46241,GEO,0.991,0.0948397499999763,0,1382,0.9722,38,51.12,49.5,10.46,22,96.5,15000,200,0.6319355223897447,0.9276698226139948,0.7794294873624502,0.6184276414621933,0.8233333333333334,0.8653291371623394,0.7063197026022305,GSM1010876,0
NCOA1,Unknown/Other,GSM5669451,Unknown/Other,Gene Regulation,Hep-G2,homo_sapiens,172230,GEO,0.992,0.0464589031056362,0,260,0.915,36,60.83,62,10.46,20,95.5,15000,200,0.737714817835352,0.9456425484875892,0.8909530672134837,0.8596881959910914,0.772,0.8897654141581898,0.8134878819810326,GSM5669451,0
NEUROD1,Unknown/Other,GSM2432944,Unknown/Other,Gene Regulation,D283 Med,homo_sapiens,74360,GEO,0.976,0.2231837499999442,0,18815,0.8856,33,41.05,38.5,9.58,19.5,81,15000,200,0.8040070065996747,0.9646070362196546,0.8974774159494208,0.8471555860178204,0.824,0.9470824731065955,0.8354173707333559,GSM2432944,0
NFAT5,Unknown/Other,GSM5215305,Unknown/Other,Gene Regulation,Hep-G2,homo_sapiens,152928,GEO,0.993,0.0499783165109015,0,724,0.9426,35,63.76,64.5,9.33,21,95.5,15000,200,0.800310599173087,0.972943584935146,0.9601731428157004,0.927719821162444,0.83,0.9031103770988164,0.8761435608726249,GSM5215305,0
NFATC3,Unknown/Other,GSM2574801,Unknown/Other,Gene Regulation,Hep-G2,homo_sapiens,74643,GEO,0.986,0.0575124999999856,0,56,0.9114,36,59.76,59,7.09,21.5,95,15000,200,0.8061643463289107,0.9672788203753352,0.9468371669909136,0.8332354668232531,0.946,0.9023542001070092,0.8860443334374024,GSM2574801,0
NFATC4,Unknown/Other,GSM6347346,Unknown/Other,Gene Regulation,GM25256,homo_sapiens,163521,GEO,0.992,0.0128617186437119,0,417,0.8092,36,60.19,62.5,12.03,21.5,83.5,5994,200,0.6959879284562149,0.9370706451681072,0.8443203330362982,0.8048327137546468,0.7228714524207012,0.8947163947163947,0.7616534740545294,GSM6347346,0
NFE2,Unknown/Other,GSM1067276,Unknown/Other,Gene Regulation,,homo_sapiens,39357,GEO,0.953,0.3357947499999161,0,30674,0.972,37,58.06,57.5,10.51,21,89.5,15000,200,0.8168483349807459,0.9775114314115309,0.9452256254388604,0.9109792284866468,0.8186666666666667,0.9290369297610428,0.8623595505617978,GSM1067276,0
NFE2L2,Unknown/Other,GSM2423561,Unknown/Other,Gene Regulation,Hep-G2,homo_sapiens,101472,GEO,0.993,0.0252792499999936,0,5042,0.847,39,44.52,43.5,8.69,21,84.5,13961,200,0.8445299524020703,0.9771494799197612,0.9382525536774354,0.8616573033707865,0.8789398280802292,0.9570321671753932,0.8702127659574468,GSM2423561,0
NFIC,Unknown/Other,GSM1010880,Unknown/Other,Gene Regulation,SK-N-SH,homo_sapiens,46343,GEO,0.994,0.1533112499999616,0,13987,0.9852,38,47.45,46,9.23,22,83.5,15000,200,0.6911688060755248,0.9386919518963924,0.8255985992411068,0.7559483344663495,0.7413333333333333,0.9064613072877536,0.7485695052170986,GSM1010880,0
NFKB1,Unknown/Other,GSM486323,Unknown/Other,Gene Regulation,GM12891,homo_sapiens,4974,GEO,0.977,0.2343989999999414,0,16580,0.9684,28,49.89,48.5,8.25,21.5,82.5,15000,200,0.8064965590509962,0.9722183702644748,0.92522290409428,0.85724043715847,0.8366666666666667,0.936020293122886,0.8468286099865048,GSM486323,0
NFKB2,Unknown/Other,GSM5215027,Unknown/Other,Gene Regulation,Hep-G2,homo_sapiens,152831,GEO,0.986,0.2113645264438335,0,4595,0.9666,34,65.81,66,7.64,20.5,95.5,15000,200,0.8882285398032966,0.9890871061689172,0.9884272676031068,0.928117048346056,0.9726666666666668,0.9441826748822036,0.9498697916666666,GSM5215027,0
NFRKB,Unknown/Other,GSM2825485,Unknown/Other,Gene Regulation,Hep-G2,homo_sapiens,101034,GEO,0.985,0.0112842499999971,0,193,0.5565517241379311,37,51.47,49.5,10.48,21.5,77,2679,200,0.7917246121922589,0.9567300359516286,0.868753058041054,0.8739495798319328,0.7761194029850746,0.945054945054945,0.8221343873517787,GSM2825485,0
NFXL1,Unknown/Other,GSM2422973,Unknown/Other,Gene Regulation,K562,homo_sapiens,101179,GEO,0.981,0.0133319999999966,0,413,0.7698,37,51.49,51.5,9.07,21.5,79.5,5365,200,0.456978809789685,0.8432719386609155,0.6328058752423009,0.7620967741935484,0.3519553072625698,0.8650530503978779,0.4815286624203821,GSM2422973,0
NFYA,Unknown/Other,GSM648587,Unknown/Other,Gene Regulation,K-562,homo_sapiens,2094,GEO,0.914,0.2296677499999426,0,8566,0.9676,33,59.43,59.5,11.21,20.5,88.5,15000,200,0.843869435327338,0.9801672738312084,0.9522376698316966,0.8605678233438486,0.9093333333333332,0.939409368635438,0.8842787682333874,GSM648587,0
